2080;2410;2410;2410;2500;2490;2500;2500;2500;2500;
2450;2470;2530;2540;2540;2540;2540;2540;2540;2540;
2610;2610;2680;2680;2680;2680;2680;2680;2680;2680;
1800;2490;2490;2490;2490;2490;2490;2490;2490;2490;
2240;2250;2250;2250;2250;2250;2250;2250;2250;2250;
1670;2450;2450;2450;2450;2450;2450;2450;2450;2450;
1830;1930;1930;1930;1930;1930;1930;1930;1930;1930;
1700;1710;1830;1830;1830;1830;1830;1830;1830;1830;
1740;1740;1930;1930;1930;1930;1930;1930;1930;1930;
129760;131520;127680;128760;130150;129300;129460;129400;127010;126160;
140100;144830;143720;143700;142550;143500;142860;140150;142080;139220;
126490;128660;127640;127840;129170;127440;129430;128150;123750;125630;
105430;108940;107230;109190;107970;105880;109720;107740;107250;106080;
98000;98470;98290;98100;98670;101310;98030;97310;98080;96880;
104560;106050;105410;106410;106760;107430;106950;104970;103940;104030;
86670;87280;89260;87500;87460;87550;86670;86340;86110;87250;
84870;86930;86470;87130;86390;86610;85570;85050;86870;87410;
86750;89010;92410;89090;88100;88520;92410;91990;86690;88900;
439760;436470;437080;440810;435890;435180;437640;450310;428780;422500;
453400;444920;449090;452880;447550;446850;443040;437320;428170;431800;
459290;458870;463050;457950;460540;457710;457850;461120;450510;456400;
334920;340570;339930;334640;338470;339330;338360;333230;333830;324440;
325520;326550;332110;324750;320300;321570;324400;316600;316290;311020;
344930;353830;349180;349400;344230;347830;347990;342160;345660;334560;
308390;308560;311740;312490;309150;303490;309200;309660;301590;301960;
283120;281680;277600;290150;280970;280390;275790;281770;281410;272980;
296350;305380;297710;305590;297570;299420;293480;297520;290560;294510;
