2080;2180;2410;2410;2500;2490;2500;2500;2500;2500;
2450;2470;2530;2530;2530;2540;2540;2540;2540;2540;
2610;2610;2680;2680;2680;2680;2680;2680;2680;2680;
1800;2490;2490;2490;2490;2490;2490;2490;2490;2490;
2240;2250;2250;2250;2250;2250;2250;2250;2250;2250;
1670;2450;2450;2450;2450;2450;2450;2450;2450;2450;
1830;1930;1930;1930;1930;1930;1930;1930;1930;1930;
1700;1710;1830;1830;1830;1830;1830;1830;1830;1830;
1740;1740;1930;1930;1800;1930;1930;1930;1930;1930;
129760;128410;127830;129120;129310;128120;127640;126790;127490;123120;
143510;143640;143510;142630;140810;140030;139310;137640;137060;137810;
124630;124830;126360;125680;128810;124860;125970;129120;126540;121190;
105430;107320;108100;107950;107740;107000;107380;103330;108630;106000;
96680;99240;96720;98910;98570;98130;98690;98370;97650;96550;
104730;105870;103890;104260;107490;104410;105610;106580;103580;105440;
86670;87070;86800;86290;86550;85750;85480;85630;83340;86870;
84870;86390;86470;85760;85770;85210;85740;84080;83820;84620;
86750;86030;88750;86880;88770;88170;90130;86710;87550;86430;
432140;435630;428610;429960;437950;437530;422520;430080;417230;417200;
441770;440480;440800;445680;445200;441460;429070;428590;426760;439800;
453570;451280;456280;459180;451160;460690;462740;460350;451320;459030;
340090;340100;335730;337790;334080;331980;332580;338300;335090;323450;
327040;320970;322950;324810;327360;320360;319160;317210;323760;309210;
341530;353830;342480;345110;344170;339250;331040;333100;338600;330940;
305830;310070;302690;305420;301660;303160;301680;299890;291280;289990;
279630;278980;279220;283410;277760;285450;274030;275190;272310;276020;
288980;298640;303340;298560;293050;294360;297670;281380;286400;293120;
